titanic,30.0,37.8,44.4,37.6,46.2,0.7016296546030787,0.6815675184166541,0.6895032230059166,0.6790251223977316,0.6582646889082006,
tic-tac-toe,25.2,39.0,48.6,41.2,50.4,0.8053953692059591,0.7372531015886016,0.7402915872374387,0.7348357993266081,0.7019073250549854,
iris,29.8,37.6,32.2,32.4,37.6,0.358502343978124,0.3160347819101865,0.4116609200396361,0.2954302676661669,0.31732208374264315,
breast_cancer,27.6,37.6,42.0,45.0,53.6,0.34710539119278355,0.36243085956801996,0.3983722011171827,0.3588161927535139,0.3578205995343002,
load_wine,26.4,39.0,34.8,32.4,40.0,0.2860595887165047,0.32497511669513524,0.35046423981512304,0.3054078242648341,0.24072109032573621,
IBM_HR,15.2,20.0,21.6,20.2,24.6,0.5924660288293448,0.5837996794547919,0.5988817714570107,0.5784572808393675,0.5806955774615756,
telco_churn,25.0,37.0,39.0,30.0,49.0,0.7074342198811426,0.7079622678544761,0.7035803347930911,0.693575265130572,0.6954545930675292,
GenderRecognition,14.0,18.0,17.0,18.0,18.0,0.9973082923525369,0.9966810588481566,0.9971451292598814,0.996820564540794,0.996820564540794,
banknote,27.6,37.4,30.4,37.6,40.6,0.3936067555570707,0.3633417860333422,0.39443178715167276,0.3563743294210856,0.337198679471867,
liver,29.5,48.5,51.0,46.5,55.5,0.8545118231244171,0.8624615667491234,0.8417875255224747,0.8624902853050335,0.8427986535876989,
magic,24.0,36.0,33.0,37.0,37.0,0.7443763758892281,0.732209613618993,0.7361408608087975,0.7329035060325207,0.7307506101980881,
adult,23.0,30.0,33.0,20.0,31.0,0.6204261661679453,0.6242312807978668,0.6197830639440732,0.6000700390432676,0.6076348511284818,
digits5,14.0,21.0,19.0,22.0,27.0,0.4127945993924911,0.3614351245260879,0.38698681377143396,0.3635781756956762,0.3927234850883014,
insurance,19.8,30.6,37.6,24.6,33.0,0.1927975395384978,0.19002723581460107,0.19235978394748027,0.16855528851713622,0.16600673321427215,
make_friedman1,17.4,28.0,37.6,29.0,39.4,0.09582878056056893,0.103231061575213,0.101328924097577,0.18259414557061915,0.09583520583374508,
make_friedman2,21.6,30.6,30.0,27.2,28.8,0.18804789507017167,0.25176078358747517,0.2472528863860998,0.20116330559143333,0.22303306037787393,
make_friedman3,24.6,29.2,36.2,33.8,34.0,0.06073367313008386,0.05963358978541941,0.05961240775384223,0.15296867561124045,0.05718454092392885,
wage,24.8,37.6,41.4,36.2,39.8,0.39586970310670605,0.4011780185409925,0.3936913091071014,0.3861428580976643,0.3811495221875275,
Demographics,13.8,21.6,22.4,22.4,23.4,0.2294922620052354,0.22685361043372046,0.22685988371454113,0.22527019045918675,0.22522577197671248,
gdp,19.8,21.0,20.8,20.4,21.4,0.037826793171237716,0.03769827381926126,0.03766647967386352,0.03733844252386081,0.037322911397410244,
used_cars,26.0,33.4,34.4,25.6,28.6,26081619.6065106,27045578.599786982,23439958.571994647,17109333.198691837,17285667.867405254,
load_diabetes,21.0,29.4,41.6,35.0,39.6,0.1571320067643291,0.15924624054603845,0.15997284975248352,0.22522324690660364,0.15251292407395103,
boston,20.6,32.8,36.8,29.4,37.4,0.11053064323413501,0.11322085368031967,0.11029653724440823,0.10295845661235588,0.10333221458368111,
world_happiness_indicator,21.6,30.2,44.2,30.6,42.8,0.04729645146893962,0.047539800829902265,0.049383562872883854,0.0454510514347383,0.04655555112633317,
who_life_expectancy,21.0,43.0,42.0,35.0,49.0,0.040070088592429505,0.040750482592503474,0.04076672633436562,0.03983943435801026,0.03959703216579045,
mobile_prices,18.0,40.0,55.0,37.0,56.0,0.15661906423097127,0.1656152268804402,0.16550099061284942,0.1622016313042635,0.16259784962601975,
suicide_rates_cleaned,13.0,18.0,18.0,21.0,23.0,0.5783320988141626,0.5624115091359891,0.5625096028239065,0.5622575859315572,0.5530289433739675,
videogamesales,13.0,17.0,17.0,20.0,19.0,0.9537226973129012,0.9537224308267188,0.9537224310508653,0.953720250600442,0.9537202506004422,
red_wine_quality,19.6,33.2,44.2,27.4,44.0,0.04813504181581529,0.04868287147979041,0.04847427504793893,0.04776388436840588,0.048015976396816075,
covid_vic,21.2,27.2,25.4,22.4,26.4,0.20197669910387034,0.18394989679203755,0.5787469901545229,0.1681696543491221,0.1779246316626441,
covid,24.8,34.0,30.4,32.0,34.2,0.38608342619096264,0.4345367206531285,4.265709294465633,0.42154066287557407,0.4084889166491917,
bicycle,23.2,39.4,37.4,35.2,41.0,0.4369577013274073,0.4038107619802499,0.4115460366678987,0.397423194525359,0.40096722016608716,
ships,27.0,31.0,29.2,29.0,33.8,0.21201659725312144,0.2441537921559113,145.24426792340492,0.2025545915774414,0.22272942708914958,
smoking,20.8,27.0,25.0,25.8,26.2,0.17146312479815518,0.15890041664293517,0.25585864393364877,0.1449650796575375,0.1421297664830711,
