id,dur,res,educ,mean,var,n,y
1,1,1,0,0.5,1.14,8,4
2,1,1,1,1.14,0.73,21,23.94
3,1,1,2,0.9,0.67,42,37.8
4,1,1,3,0.73,0.48,51,37.23
5,1,2,0,1.17,1.06,12,14.04
6,1,2,1,0.85,1.59,27,22.95
7,1,2,2,1.05,0.73,39,40.95
8,1,2,3,0.69,0.54,51,35.19
9,1,3,0,0.97,0.88,62,60.14
10,1,3,1,0.96,0.81,102,97.92
11,1,3,2,0.97,0.8,107,103.79
12,1,3,3,0.74,0.59,47,34.78
13,2,1,0,3.1,1.66,10,31
14,2,1,1,2.67,0.99,30,80.1
15,2,1,2,2.04,1.87,24,48.96
16,2,1,3,1.73,0.68,22,38.06
17,2,2,0,4.54,3.44,13,59.02
18,2,2,1,2.65,1.51,37,98.05
19,2,2,2,2.68,0.97,44,117.92
20,2,2,3,2.29,0.81,21,48.09
21,2,3,0,2.44,1.93,70,170.8
22,2,3,1,2.71,1.36,117,317.07
23,2,3,2,2.47,1.3,81,200.07
24,2,3,3,2.24,1.19,21,47.04
25,3,1,0,4.08,1.72,12,48.96
26,3,1,1,3.67,2.31,27,99.09
27,3,1,2,2.9,1.57,20,58
28,3,1,3,2,1.82,12,24
29,3,2,0,4.17,2.97,18,75.06
30,3,2,1,3.33,2.99,43,143.19
31,3,2,2,3.62,1.96,29,104.98
32,3,2,3,3.33,1.52,15,49.95
33,3,3,0,4.14,3.52,88,364.32
34,3,3,1,4.14,3.31,132,546.48
35,3,3,2,3.94,3.28,50,197
36,3,3,3,3.33,2.5,9,29.97
37,4,1,0,4.21,2.03,14,58.94
38,4,1,1,4.94,1.46,31,153.14
39,4,1,2,3.15,0.81,13,40.95
40,4,1,3,2.75,0.92,4,11
41,4,2,0,4.7,7.4,23,108.1
42,4,2,1,5.36,2.97,42,225.12
43,4,2,2,4.6,3.83,20,92
44,4,2,3,3.8,0.7,5,19
45,4,3,0,5.06,4.91,114,576.84
46,4,3,1,5.59,3.23,86,480.74
47,4,3,2,4.5,3.29,30,135
48,4,3,3,2,0,1,2
49,5,1,0,5.62,4.15,21,118.02
50,5,1,1,5.06,4.64,18,91.08
51,5,1,2,3.92,4.08,12,47.04
52,5,1,3,2.6,4.3,5,13
53,5,2,0,5.36,7.19,22,117.92
54,5,2,1,5.88,4.44,25,147
55,5,2,2,5,4.33,13,65
56,5,2,3,5.33,0.33,3,15.99
57,5,3,0,6.46,8.2,117,755.82
58,5,3,1,6.34,5.72,68,431.12
59,5,3,2,5.74,5.2,23,132.02
60,5,3,3,2.5,0.5,2,5
61,6,1,0,6.6,12.4,47,310.2
62,6,1,1,6.74,11.66,27,181.98
63,6,1,2,5.38,4.27,8,43.04
64,6,1,3,2,0,1,2
65,6,2,0,6.52,11.45,46,299.92
66,6,2,1,7.51,10.53,45,337.95
67,6,2,2,7.54,12.6,13,98.02
69,6,3,0,7.48,11.34,195,1458.6
70,6,3,1,7.81,7.57,59,460.79
71,6,3,2,5.8,7.07,10,58
