LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,56,4053,437,12,5,Alpine,8/08/2022,9/08/2022
Ararat (RC),VIC220,11845,104,3446,878,17,6,Ararat,8/08/2022,9/08/2022
Ballarat (C),VIC241,109505,779,44097,711.4,152,6,Ballarat,8/08/2022,9/08/2022
Banyule (C),VIC188,131631,810,50967,615.4,130,6,Banyule,8/08/2022,9/08/2022
Bass Coast (S),VIC173,36320,240,12592,660.8,33,6,Bass Coast,8/08/2022,9/08/2022
Baw Baw (S),VIC194,53396,391,19518,732.3,70,6,Baw Baw,8/08/2022,9/08/2022
Bayside (C),VIC182,106862,553,39122,517.5,86,6,Bayside,8/08/2022,9/08/2022
Benalla (RC),VIC199,14037,78,3994,555.7,16,6,Benalla,8/08/2022,9/08/2022
Boroondara (C),VIC201,183199,995,63981,543.1,156,6,Boroondara,8/08/2022,9/08/2022
Brimbank (C),VIC189,209523,846,73066,403.8,129,5,Brimbank,8/08/2022,9/08/2022
Buloke (S),VIC183,6124,28,1351,457.2,1,5,Buloke,8/08/2022,9/08/2022
Campaspe (S),VIC239,37622,199,11593,528.9,32,6,Campaspe,8/08/2022,9/08/2022
Cardinia (S),VIC212,112159,776,45083,691.9,114,6,Cardinia,8/08/2022,9/08/2022
Casey (C),VIC213,353872,2200,141791,621.7,377,6,Casey,8/08/2022,9/08/2022
Central Goldfields (S),VIC169,13186,30,3649,227.5,5,5,Central Goldfields,8/08/2022,9/08/2022
Colac-Otway (S),VIC224,21564,124,6364,575,21,6,Colac-Otway,8/08/2022,9/08/2022
Corangamite (S),VIC231,16020,87,4140,543.1,18,6,Corangamite,8/08/2022,9/08/2022
Darebin (C),VIC205,164184,956,63933,582.3,139,6,Darebin,8/08/2022,9/08/2022
East Gippsland (S),VIC243,47316,285,12746,602.3,46,6,East Gippsland,8/08/2022,9/08/2022
Frankston (C),VIC227,142643,927,53376,649.9,157,6,Frankston,8/08/2022,9/08/2022
Gannawarra (S),VIC214,10472,37,2551,353.3,12,5,Gannawarra,8/08/2022,9/08/2022
Glen Eira (C),VIC177,156511,889,61157,568,112,6,Glen Eira,8/08/2022,9/08/2022
Glenelg (S),VIC223,19674,94,5454,477.8,17,5,Glenelg,8/08/2022,9/08/2022
Golden Plains (S),VIC230,23722,166,8406,699.8,30,6,Golden Plains,8/08/2022,9/08/2022
Greater Bendigo (C),VIC193,118093,822,45530,696.1,132,6,Greater Bendigo,8/08/2022,9/08/2022
Greater Dandenong (C),VIC247,168201,789,56074,469.1,136,5,Greater Dandenong,8/08/2022,9/08/2022
Greater Geelong (C),VIC215,258934,2046,103184,790.2,335,6,Greater Geelong,8/08/2022,9/08/2022
Greater Shepparton (C),VIC93,66498,423,23973,636.1,71,6,Greater Shepparton,8/08/2022,9/08/2022
Hepburn (S),VIC94,15975,78,4537,488.3,15,5,Hepburn,8/08/2022,9/08/2022
Hindmarsh (S),VIC152,5588,16,1571,286.3,2,5,Hindmarsh,8/08/2022,9/08/2022
Hobsons Bay (C),VIC235,97751,560,36020,572.9,76,6,Hobsons Bay,8/08/2022,9/08/2022
Horsham (RC),VIC153,19921,113,6905,567.2,18,6,Horsham,8/08/2022,9/08/2022
Hume (C),VIC198,233471,1226,95233,525.1,190,6,Hume,8/08/2022,9/08/2022
Indigo (S),VIC191,16701,97,5213,580.8,12,6,Indigo,8/08/2022,9/08/2022
Interstate,,,38,5945,0,9,0,,8/08/2022,9/08/2022
Kingston (C),VIC226,165782,876,62262,528.4,148,6,Kingston,8/08/2022,9/08/2022
Knox (C),VIC209,164538,1079,61477,655.8,173,6,Knox,8/08/2022,9/08/2022
Latrobe (C),VIC219,75561,563,26981,745.1,105,6,Latrobe,8/08/2022,9/08/2022
Loddon (S),VIC185,7504,38,1773,506.4,7,6,Loddon,8/08/2022,9/08/2022
Macedon Ranges (S),VIC228,50231,385,17525,766.5,64,6,Macedon Ranges,8/08/2022,9/08/2022
Manningham (C),VIC195,127573,713,46227,558.9,107,6,Manningham,8/08/2022,9/08/2022
Mansfield (S),VIC244,9176,47,3134,512.2,7,6,Mansfield,8/08/2022,9/08/2022
Maribyrnong (C),VIC234,93448,536,37816,573.6,95,6,Maribyrnong,8/08/2022,9/08/2022
Maroondah (C),VIC207,118558,721,45472,608.1,98,6,Maroondah,8/08/2022,9/08/2022
Melbourne (C),VIC132,178955,934,69352,521.9,163,6,Melbourne,8/08/2022,9/08/2022
Melton (C),VIC237,164895,1188,75567,720.5,205,6,Melton,8/08/2022,9/08/2022
Mildura (RC),VIC222,55777,436,19860,781.7,64,6,Mildura,8/08/2022,9/08/2022
Mitchell (S),VIC211,46082,420,17949,911.4,48,6,Mitchell,8/08/2022,9/08/2022
Moira (S),VIC190,29925,145,9099,484.5,17,5,Moira,8/08/2022,9/08/2022
Monash (C),VIC210,202847,1209,72071,596,200,6,Monash,8/08/2022,9/08/2022
Moonee Valley (C),VIC121,130294,732,50607,561.8,130,6,Moonee Valley,8/08/2022,9/08/2022
Moorabool (S),VIC236,35049,226,13188,644.8,48,6,Moorabool,8/08/2022,9/08/2022
Moreland (C),VIC131,185767,1084,75635,583.5,170,6,Moreland,8/08/2022,9/08/2022
Mornington Peninsula (S),VIC204,167636,877,59178,523.2,166,6,Mornington Peninsula,8/08/2022,9/08/2022
Mount Alexander (S),VIC105,19754,131,6324,663.2,17,6,Mount Alexander,8/08/2022,9/08/2022
Moyne (S),VIC229,16953,75,5053,442.4,12,5,Moyne,8/08/2022,9/08/2022
Murrindindi (S),VIC250,14570,56,3998,384.4,8,5,Murrindindi,8/08/2022,9/08/2022
Nillumbik (S),VIC216,65094,409,24886,628.3,45,6,Nillumbik,8/08/2022,9/08/2022
Northern Grampians (S),VIC166,11402,102,3591,894.6,16,6,Northern Grampians,8/08/2022,9/08/2022
Other,,,1,1,0,1,0,,8/08/2022,9/08/2022
Overseas,,,5,181,0,2,0,,8/08/2022,9/08/2022
Overseas Traveller,,,0,621,0,0,0,,8/08/2022,9/08/2022
Port Phillip (C),VIC208,115601,540,43373,467.1,69,5,Port Phillip,8/08/2022,9/08/2022
Pyrenees (S),VIC217,7472,42,2127,562.1,6,6,Pyrenees,8/08/2022,9/08/2022
Queenscliffe (B),VIC238,2940,15,1068,510.2,3,6,Queenscliffe,8/08/2022,9/08/2022
South Gippsland (S),VIC178,29914,178,9034,595,34,6,South Gippsland,8/08/2022,9/08/2022
Southern Grampians (S),VIC233,16100,115,5036,714.3,21,6,Southern Grampians,8/08/2022,9/08/2022
Stonnington (C),VIC203,117768,622,41511,528.2,92,6,Stonnington,8/08/2022,9/08/2022
Strathbogie (S),VIC110,10781,44,2863,408.1,5,5,Strathbogie,8/08/2022,9/08/2022
Surf Coast (S),VIC225,33456,230,14092,687.5,54,6,Surf Coast,8/08/2022,9/08/2022
Swan Hill (RC),VIC180,20649,87,6373,421.3,21,5,Swan Hill,8/08/2022,9/08/2022
Towong (S),VIC187,6040,33,1488,546.4,4,6,Towong,8/08/2022,9/08/2022
Unincorporated Vic,,,8,419,0,3,0,,8/08/2022,9/08/2022
Unknown,,,118,5582,0,16,0,,8/08/2022,9/08/2022
Wangaratta (RC),VIC186,29187,197,9718,675,29,6,Wangaratta,8/08/2022,9/08/2022
Warrnambool (C),VIC179,35181,215,12331,611.1,31,6,Warrnambool,8/08/2022,9/08/2022
Wellington (S),VIC218,44380,233,14057,525,32,6,Wellington,8/08/2022,9/08/2022
West Wimmera (S),VIC232,3841,27,849,702.9,3,6,West Wimmera,8/08/2022,9/08/2022
Whitehorse (C),VIC196,178739,1193,63229,667.5,162,6,Whitehorse,8/08/2022,9/08/2022
Whittlesea (C),VIC197,230238,1333,93064,579,191,6,Whittlesea,8/08/2022,9/08/2022
Wodonga (C),VIC192,42083,324,16091,769.9,56,6,Wodonga,8/08/2022,9/08/2022
Wyndham (C),VIC221,270487,2101,113162,776.7,338,6,Wyndham,8/08/2022,9/08/2022
Yarra (C),VIC202,101495,500,40621,492.6,64,5,Yarra,8/08/2022,9/08/2022
Yarra Ranges (S),VIC206,159462,958,57881,600.8,147,6,Yarra Ranges,8/08/2022,9/08/2022
Yarriambiack (S),VIC200,6639,40,1713,602.5,5,6,Yarriambiack,8/08/2022,9/08/2022
