id,type,Construction,operation,months,damage
1,1,1,1,127,0
2,1,1,4,63,0
3,1,2,1,1095,3
4,1,2,4,1095,4
5,1,3,1,1512,6
6,1,3,4,3353,18
7,1,4,4,2244,11
8,2,1,1,44882,39
9,2,1,4,17176,29
10,2,2,1,28609,58
11,2,2,4,20370,53
12,2,3,1,7064,12
13,2,3,4,13099,44
14,2,4,4,7117,18
15,3,1,1,1179,1
16,3,1,4,552,1
17,3,2,1,781,0
18,3,2,4,676,1
19,3,3,1,783,6
20,3,3,4,1948,2
21,3,4,4,274,1
22,4,1,1,251,0
23,4,1,4,105,0
24,4,2,1,288,0
25,4,2,4,192,0
26,4,3,1,349,2
27,4,3,4,1208,11
28,4,4,4,2051,4
29,5,1,1,45,0
30,5,2,1,789,7
31,5,2,4,437,7
32,5,3,1,1157,5
33,5,3,4,2161,12
34,5,4,4,542,1
