PostCode,CustomerClass,ServiceConnections
78726,1,61
78732,1,9
78703,2,327
78739,1,20
78754,1,232
78728,2,23
78735,3,2752
78756,3,2368
78717,1,106
78752,1,379
78747,1,25
78751,2,316
78754,4,1
78751,3,3677
78741,5,13
78750,3,7840
78759,1,471
78714,1,1
78701,6,1
78703,5,21
78704,3,9736
78660,2,8
78725,3,643
78681,1,3
78749,3,10253
78746,1,114
78739,2,1
78653,3,351
78701,1,966
78726,2,13
78660,7,1
78729,5,3
78744,1,406
78731,5,8
78735,1,158
78728,3,1224
78617,1,47
78705,5,10
78719,3,47
78744,3,9258
78721,4,1
78746,7,1
78742,2,5
78753,3,7600
78613,2,7
78754,5,4
78742,3,121
78744,4,1
78703,1,474
78725,2,2
78752,5,6
78759,2,135
78749,2,41
78723,1,419
78757,1,657
78721,5,15
78724,2,23
78741,6,2
78753,1,593
78730,1,58
78717,2,23
78660,3,1590
78721,3,3229
78730,3,1216
78719,1,40
78721,2,57
78748,5,4
78757,5,9
78701,5,30
78735,5,1
78727,2,135
78730,2,8
78756,2,131
78745,7,1
78742,1,18
78757,3,7549
78617,4,1
78737,3,253
78745,8,4
78746,4,1
78652,3,763
78759,3,9351
78729,2,130
78744,5,20
78747,2,26
78745,2,325
78736,1,23
78756,5,5
78704,5,26
78719,5,17
78703,3,5969
78750,1,167
78723,2,221
78722,5,5
78705,1,561
78712,6,14
78758,1,691
78728,1,60
78756,4,1
78732,7,1
78712,1,15
78735,2,42
78746,3,4135
78745,5,11
78741,2,313
78726,7,1
78717,5,1
78729,3,3512
78731,1,269
78754,3,4639
78758,2,197
78717,3,5393
78653,2,1
78747,3,4832
78748,3,13889
78710,1,1
78758,3,8089
78717,4,1
78741,3,4354
78653,1,10
78745,3,16401
78753,4,1
78705,3,1815
78704,4,1
78723,5,16
78725,1,28
78725,6,1
78617,2,8
78617,5,2
78701,3,177
78652,1,5
78751,5,5
78702,1,860
78727,5,3
78746,2,70
78750,5,8
78613,1,82
78722,3,2039
78746,8,1
78617,3,2983
78723,3,8245
78757,2,233
78724,3,3544
78727,3,6778
78749,5,5
78702,3,6475
78704,2,786
78719,2,4
78727,1,215
78766,1,1
78758,5,13
78724,1,66
78735,8,3
78660,1,119
78752,2,188
78705,2,487
78701,2,91
78749,1,172
78737,1,8
78744,2,87
78741,1,318
78721,1,135
78722,2,119
78732,3,2
78726,5,1
78733,3,3
78731,2,142
78752,3,2776
78759,5,4
78704,1,967
78702,4,1
78754,6,1
78753,5,4
78701,4,1
78751,1,370
78739,5,1
78753,2,179
78722,1,196
78748,1,272
78748,2,44
78702,2,178
78653,7,1
78705,6,3
78745,1,737
78702,5,48
78732,4,2
78652,2,1
78742,5,1
78750,2,51
78739,8,1
78746,5,6
78735,6,1
78736,3,1436
78724,5,4
78752,4,1
78728,7,1
78736,2,18
78739,3,5300
78725,5,1
78731,3,7690
78726,3,2342
78729,1,209
78755,1,1
78756,1,437
78754,2,23
78729,7,1
